Listing Name,Price,Room Type,Reviews,Location
Spacious Central London 2 Bed,250,Entire home/flat,12 reviews,London
Zone 1/Clerkenwell/Old Street,100,Private room,1 review,London
Modern Double in Shoreditch Zone1,45,Private room,London,
Cosy room in quiet cul de sac,28,Private room,1 review,Harrow
Great room 30 min  Central London,35,Private room,11 reviews,"LB of Haringey, London"
Beautiful room in London Zone 2,40,Private room,38 reviews,"New Cross, London"
Stylish 3 bed riverside apartment,220,Entire home/flat,36 reviews,"Southwark, London"
"Apartment in Little Venice, London",110,Entire home/flat,70 reviews,Paddington
"Clean, quiet room in Shoreditch",45,Private room,28 reviews,"Bethnal Green, London"
The heart of Hampstead Village,135,Entire home/flat,39 reviews,"Hampstead, Greater London"
Beautiful Studio in East London,84,Entire home/flat,54 reviews,"Dalston, London"
London 2 bed flat in W6 LOVE IT!,130,Entire home/flat,23 reviews,"Hammersmith, Greater London"
Awesome Room near Central London,35,Private room,53 reviews,"Camberwell, London"
"Zone 1, New DRoom with private bath",55,Private room,52 reviews,"Kennington, London"
Stylish Riverside En-suite Bedroom,69,Private room,2 reviews,"Battersea, London"
Trendy Notting Hill Duplex Flat,225,Entire home/flat,44 reviews,"Bayswater, Greater London"
"large L shape couch x 2, Tower Brid",20,Shared room,7 reviews,London
Stylish flat in Central London W1,138,Entire home/flat,36 reviews,"Fitzrovia, London"
Cosy double bedroom in a quiet area,36,Private room,34 reviews,"LB of Islington, London"
"Gorgeous 1 Bed garden flat, Camden",95,Entire home/flat,53 reviews,"LB of Camden, London"
Central London Canal Narrowboat.,140,Entire home/flat,126 reviews,"Paddington, Central London Narrowboat"
Lovely sunny room in South. London,33,Private room,30 reviews,"Streatham, London"
Bright Studio Flat Fulham,95,Entire home/flat,7 reviews,"Earls Court, London"
Luxury 2B 2B apt in Greenwich heart,145,Entire home/flat,34 reviews,"Greenwich, London"
LUXURYDOUBLE BEDROOM IN NW10 LONDON,40,Private room,27 reviews,"LB of Brent, London"
"Double room, very near to station",21,Private room,32 reviews,"LB of Croydon, London"
Superb location -GLOUCESTER ROAD,150,Entire home/flat,15 reviews,London
GREAT Room in Stoke Newington,40,Private room,2 reviews,London
Beautiful Central London Penthouse,125,Entire home/flat,49 reviews,"Bermondsey, London"
★★★★★ CENTRAL COZY ROOM LONDON,75,Private room,27 reviews,"Earls Court, Greater London"
Double Modern King's Cross Bedroom,71,Private room,28 reviews,"Kings Cross, London"
Double Room by Oval Cricket Ground,50,Private room,172 reviews,"Kennington, LONDON"
Cool Chic Apartment Covent Garden,120,Entire home/flat,85 reviews,"Covent Garden, London"
"Double, Zone 2, 10 mins from Centre",37,Private room,41 reviews,"Stockwell, Greater London"
Beautiful Double in Waterloo,77,Private room,58 reviews,"South Bank, London"
2nd DOUBLE BEDROOM IN FAMILY HOME,42,Private room,27 reviews,"Lower Streatham, London"
Great house with American plumbing!,265,Entire home/flat,65 reviews,"Hackney, London"
Tower Bridge Triple bed + breakfast,48,Private room,61 reviews,"Bermondsey, London"
Room+Ensuite Bathroom in Islington,82,Private room,45 reviews,"Canonbury, London"
Dbl room in Camden Garden apartment,39,Private room,24 reviews,"Hampstead, London"
B&B PRIVATE BATHROOM GREAT LOCATION,59,Private room,132 reviews,"Shepherd's Bush, London"
Stunning location Old Street EC1,58,Private room,25 reviews,"Shoreditch, London"
Dbl en suite @ Oval tube Sth London,40,Private room,82 reviews,"Kennington, London"
Central! Bang for Buck!,115,Entire home/flat,43 reviews,"Hampstead, London"
Huge Kingsize room-private bathroom,60,Private room,11 reviews,"St. Luke's, London"
Five minute walk to South Bank,65,Private room,184 reviews,"South Bank, London"
Central 'Eurostar' 3 Bedroom Apt,210,Entire home/flat,51 reviews,"Somers Town, London"
Fab London Location - Sleeps 2,45,Private room,1 review,"Putney, London"
SWEET FAMILY HOME APARTMENT,100,Entire home/flat,24 reviews,"Walworth, London"
Nice and cheap bedroom in  Hackney,40,Private room,11 reviews,"LB of Hackney, Greater London"
Modern 2bed/2bath - Notting Hill,160,Entire home/flat,50 reviews,"Notting Hill, London"
Stylish Garden Cabin in Camden,75,Entire home/flat,12 reviews,London
Beautiful Chelsea house with garden,220,Entire home/flat,36 reviews,"Earls Court, London"
Double Room by Oval Cricket Ground,50,Private room,172 reviews,"Kennington, LONDON"
LOVELY VERY CENTRAL CHELSEA FLAT,139,Entire home/flat,4 reviews,"Knightsbridge, London"
Cottage in heart of Muswell Hill,120,Entire home/flat,2 reviews,London
Lovely warehouse flat Bethnal Green,45,Private room,17 reviews,"Bethnal Green, London"
Central London Flat in Leicester Sq,130,Entire home/flat,59 reviews,"The West End, Greater London"
"Modern 1 bed flat, Central London",89,Entire home/flat,40 reviews,"LB of Islington, London"
Gorgeous 2 bed  in Hampstead/Camden,135,Entire home/flat,London,
"Luxury apartment in EC1, London",150,Entire home/flat,20 reviews,"Clerkenwell, London"
Architect designed 1 bed apartment,105,Entire home/flat,26 reviews,"Whitechapel/Brick Lane, London"
Notting Hill Nest,175,Entire home/flat,18 reviews,"Bayswater, Notting Hill"
A gorgeous modern and comfy flat,82,Entire home/flat,33 reviews,"Acton, London"
"Huge King Room, Central City, Wifi",35,Private room,37 reviews,"Whitechapel/Brick Lane, London"
Riverside Mansion (Riverside Room),54,Private room,33 reviews,"Hammersmith, London"
Excellent Location - Large Room,37,Private room,13 reviews,"LB of Redbridge, Ilford"
Beautiful Canal Side Apartment,65,Private room,33 reviews,"De Beauvoir Town, Hackney"
"Cozy Room, Amazing Location",48,Private room,31 reviews,"LB of Camden, London"
Richmond studio flat,75,Entire home/flat,1 review,Richmond
A gorgeous modern and comfy flat,82,Entire home/flat,33 reviews,"Acton, London"
BEAUTIFUL EN-SUITE FULHAM COTTAGE!,92,Private room,38 reviews,"Fulham, London"
Cosy Victorian ground floor flat,55,Private room,11 reviews,"LB of Islington, Greater London"
Stunning flat in church conversion,125,Entire home/flat,5 reviews,London
Cosy Central London Flat w/terrace,42,Private room,London,
GORGEOUS DOUBLE CENTRAL LONDON!,82,Private room,41 reviews,"Parsons Green, Fulham"
"Apartment in Little Venice, London",110,Entire home/flat,70 reviews,Paddington
Lovely 1BED flat in Notting Hill,85,Entire home/flat,12 reviews,"Westbourne Green, London"
Double / twin room in Hackney home,35,Private room,47 reviews,"LB of Hackney, London"
Boutique Apartment Nr. Tower Bridge,84,Entire home/flat,73 reviews,"Bermondsey, London"
Cosy2 Bedroomed Central London Flat,185,Entire home/flat,70 reviews,"Marylebone, London"
Big Room in North London (Room 2),35,Private room,31 reviews,"LB of Barnet, Barnet"
King Size Bed with Lounge,50,Private room,34 reviews,"Bermondsey, Greater London"
Double room near the South Bank,80,Private room,11 reviews,London
"Bright, cosy dbl Surbiton family",28,Private room,42 reviews,"RB of Kingston upon Thames, Surbiton"
covent garden flat supercentral 1BR,158,Entire home/flat,60 reviews,"Covent Garden, London"
Bedroom 4 2 in dynamic Shoreditch,35,Private room,19 reviews,"Whitechapel/Brick Lane, London"
"New Chelsea apartment, great links",79,Entire home/flat,3 reviews,"Sands End, London"
Home With A View in Whitechapel,45,Private room,19 reviews,"Whitechapel/Brick Lane, London"
Double room central London (zone 1),46,Private room,39 reviews,"Walworth, Greater London"
Nice single  bedroom in Brixton :),40,Private room,28 reviews,"Stockwell, LONDON"
Master bed parkviews 10min West End,60,Private room,95 reviews,"Walworth, London"
Modern Flat: Walk to Shoreditch,70,Private room,15 reviews,London
"Marylebone sunny flat, 1st floor",115,Entire home/flat,13 reviews,"Marylebone, London"
Perfect Room w/En-suite in Central,100,Private room,27 reviews,London
Lovely house in Camden Town,139,Entire home/flat,14 reviews,London
Enjoy London for Less 18,26,Private room,London,
Double Bed room with pvt bathroom,45,Private room,4 reviews,Kingston upon Thames
Single room in Victorian House,49,Private room,14 reviews,London
New! Islington Architect's Flat,130,Entire home/flat,14 reviews,"LB of Islington, London"
Also five minutes to South Bank,62,Private room,168 reviews,"South Bank, London"
Best public transport in London!,60,Private room,29 reviews,"Kings Cross, Greater London"
Large bright Double En-Suite room,75,Private room,12 reviews,London
Cool 2 Bed Apartment in East London,100,Entire home/flat,5 reviews,"Bethnal Green, London"
SleepEasy in Zone 1 - Free Gym Pass,29,Shared room,18 reviews,London
Central London - Oxford St & Soho,90,Private room,126 reviews,"Soho, London"
PASSING THROUGH Paddington LONDON?,55,Private room,110 reviews,"Maida Vale, London"
Private One Bed Flat in Islington!,120,Entire home/flat,51 reviews,"Islington, London"
Bright Central LOndon APartment,120,Entire home/flat,48 reviews,"St. Luke's, London"
Notting Hill Portobello 2 bed for 5,145,Entire home/flat,61 reviews,"Notting Hill, London"
View of Parliament a 5 minute walk,75,Private room,17 reviews,London
"Premium Location, Zone 1, Kings X",130,Entire home/flat,14 reviews,London
"Modern 1 bed flat, Central London",89,Entire home/flat,40 reviews,"LB of Islington, London"
Super Trendy Loft in East London,105,Entire home/flat,15 reviews,"LB of Hackney, London"
Cat & Kitten Modern & Luxurious,70,Private room,34 reviews,"Shepherd's Bush, Greater London"
Lovely Double room in Camden Town,59,Private room,24 reviews,"Camden Town, London"
Lovely flat in Central London N1,89,Entire home/flat,3 reviews,"Shoreditch, Greater London"
S Hampstead Private shower zone 2,55,Private room,44 reviews,"Hampstead, London"
Huge central 2 bed - 2mins Hyde Pk,145,Entire home/flat,19 reviews,"Bayswater, London"
En-Suit Room In Kings Cross,52,Private room,49 reviews,"St. Pancras, London"
Luxury 5* Apartment Superb Location,100,Entire home/flat,5 reviews,"Hammersmith, Greater London"
Private room river side,45,Private room,12 reviews,"LB of Hackney, London"
ZEDA ROOMS 3,60,Private room,2 reviews,"LB of Richmond upon Thames, Richmond"
BLOOMSBURY  LONDON APARTMENT 21/3,59,Private room,82 reviews,"Bloomsbury, London"
Cozy Fitzrovia studio on cobbled st,119,Entire home/flat,30 reviews,"Fitzrovia, London"
"Smart, super-clean flat near tube",89,Entire home/flat,3 reviews,"Balham, London"
Stunning Studio Apartment,92,Entire home/flat,3 reviews,"Hammersmith, Greater London"
Bright & Beautiful Room Waterloo,77,Private room,66 reviews,"South Bank, London"
2 bedroom loft style apartment,120,Entire home/flat,1 review,London
"**WAPPING, RIVERSIDE LOCATION**",65,Private room,2 reviews,"Shadwell, London"
Iconic Barbican Flat,110,Entire home/flat,8 reviews,"City of London, London"
"Perfect 1 bed, heart of Shoreditch",85,Entire home/flat,5 reviews,"Haggerston, London"
Knightsbridge - Excellent Location,325,Entire home/flat,69 reviews,"Knightsbridge, Kensington"
Penthouse with DYNAMITE views!,90,Entire home/flat,8 reviews,"Bethnal Green, London"
large quiet double room,45,Private room,10 reviews,"LB of Islington, London"
Comfortable En-Suite Double Room,69,Private room,57 reviews,"Lisson Grove, London"
Quiet room in Shoreditch/Brick Lane,49,Private room,12 reviews,London
Double Room With Gay Male Host,50,Private room,28 reviews,"Clapham, London"
Dbl room in Camden Garden apartment,39,Private room,24 reviews,"Hampstead, London"
Stylish 3 bed riverside apartment,220,Entire home/flat,36 reviews,"Southwark, London"
Modern Studio Flat - Central London,85,Entire home/flat,51 reviews,"LB of Brent, London"
Lovely Room with Private Bathroom,60,Private room,27 reviews,"Stoke Newington, London"
Amazing&Luxury Mews SouthKensington,354,Entire home/flat,16 reviews,"Knightsbridge, Greater London"
Double Room in a large Townhouse,30,Private room,London,
Stunning flat in church conversion,125,Entire home/flat,5 reviews,London
Double / twin room in Hackney home,35,Private room,47 reviews,"LB of Hackney, London"
Bright flat overlooking the city,110,Entire home/flat,33 reviews,"St. Luke's, London"
Marble Arch 1 Bedroom in Centre Lon,125,Entire home/flat,20 reviews,"Marylebone, Greater London"
Beautiful bedroom(s) in Chelsea,85,Private room,34 reviews,"Earls Court, London"
Fantastic Fulham Experience 2bd 2bt,145,Entire home/flat,48 reviews,"Fulham, Greater London"
Angel Private Bedrm/Bathrm Charm,68,Private room,7 reviews,"De Beauvoir Town, London"
"Close to Shoreditch, breakfast inc!",45,Private room,60 reviews,"Stepney, Greater London"
Five minute walk to South Bank,65,Private room,184 reviews,"South Bank, London"
Single Room in a Stylish Flat,79,Private room,8 reviews,"LB of Brent, London"
Huge Kingsize room-private bathroom,60,Private room,11 reviews,"St. Luke's, London"
Spacious Garden Flat in Dalston!,79,Entire home/flat,5 reviews,"LB of Islington, London"
Great Comfy Room in Trendy Brixton,45,Private room,8 reviews,"Brixton, London"
Beautiful spacious flat,70,Entire home/flat,London,
Scandifornian room and ensuite!,49,Private room,10 reviews,London
"Fabulous Portobello, Notting Hill",120,Entire home/flat,11 reviews,"Notting Hill, London"
"Studio ON Broadway Market, Hackney",84,Entire home/flat,29 reviews,"Bethnal Green, London"
"2Bed with gym & spa, central London",79,Entire home/flat,7 reviews,"Whitechapel/Brick Lane, London"
Zone 1 - Very Modern Private Room,60,Private room,3 reviews,"Southwark, London"
Room overlooking Portobello Road,45,Private room,47 reviews,"Notting Hill, Kensington"
Beautiful Double Room in QueensPark,68,Private room,19 reviews,"City of Westminster, London"
Modern apartment in Docklands & Gym,99,Entire home/flat,22 reviews,"Poplar, London"
Dalston Luxury apt Huge terrace gym,160,Entire home/flat,7 reviews,London
Double Room With Gay Male Host,50,Private room,28 reviews,"Clapham, London"
Large lux.double 2mins Kilburn tube,54,Private room,146 reviews,"Hampstead, London"
Central London Apartment Zone 1,130,Entire home/flat,16 reviews,"Islington, London"
Dbl room w/pvt bathroom in City,65,Private room,5 reviews,"Whitechapel/Brick Lane, London"
Luxury Apartment with Roof terrace,199,Entire home/flat,1 review,"Pimlico, London"
"Central London Double, Shoreditch",49,Private room,18 reviews,"Shoreditch, London"
A lovely traditional family home,150,Entire home/flat,8 reviews,London
"Lovely Room - Balham, London",30,Private room,51 reviews,"Balham, London"
Great 2 bed flat in Islington N1,125,Entire home/flat,22 reviews,"De Beauvoir Town, Greater London"
Cute Room in Bethnal Green Cottage,55,Private room,29 reviews,"Bethnal Green, London"
Outstanding NEO Bankside apartment,132,Entire home/flat,3 reviews,"Southwark, London"
BLOOMSBURY  LONDON APARTMENT 21/3,59,Private room,82 reviews,"Bloomsbury, London"
NEW! Converted artist's studio,81,Entire home/flat,12 reviews,London
Beautiful light filled sleeps 7,185,Entire home/flat,6 reviews,London
Enjoy London for Less 10,23,Private room,29 reviews,"LB of Newham, London"
Double Studio in Victoria (5),70,Entire home/flat,101 reviews,"Pimlico, Greater London"
DOUBLE ROOM CLOSE TO CENTRAL LONDON,36,Private room,29 reviews,"Battersea, Greater London"
Central London - Oxford St & Soho,90,Private room,126 reviews,"Soho, London"
Contemporary 3 Bed Mews House.,150,Entire home/flat,1 review,Dalston
Earls Court -  2 bedroom flat,150,Entire home/flat,58 reviews,"Earls Court, London"
Beautiful double room with library!,65,Private room,20 reviews,London
"West London Family home, sleeps 8",250,Entire home/flat,3 reviews,"Shepherd's Bush, London"
Small bespoke East End townhouse,100,Entire home/flat,10 reviews,"Bethnal Green, Greater London"
LUx inCENTRAL LONDON NEAR OXFORD ST,340,Entire home/flat,64 reviews,"Fitzrovia, London"
2 Bed 2 Bath in Greenwich (BP),150,Entire home/flat,3 reviews,London
Single Room in Designer Flat,29,Private room,8 reviews,London
Lovely flat next to the station.,60,Entire home/flat,16 reviews,London
Sunny comfortable double room Zone2,35,Private room,20 reviews,"New Cross, London"
Lovely warehouse flat Bethnal Green,45,Private room,17 reviews,"Bethnal Green, London"
Beautiful One Bed Notting Hill,120,Entire home/flat,38 reviews,"Notting Hill, London"
Beautiful Village Home with Terrace,200,Entire home/flat,10 reviews,"Wimbledon, Greater London"
"Smart, super-clean flat near tube",89,Entire home/flat,3 reviews,"Balham, London"
Comfortable One Bed Flat Shoreditch,120,Entire home/flat,54 reviews,"Whitechapel/Brick Lane, London"
Modern Single Room near Brick Lane!,45,Private room,51 reviews,"Shoreditch, London"
Chic and Cosy flat near Big Ben.,75,Entire home/flat,53 reviews,"Vauxhall, Greater London"
"Modern, sunny flat with balcony",120,Entire home/flat,15 reviews,"City of London, Greater London"
Spacious home in central London,60,Private room,53 reviews,"LB of Camden, London"
"Private flat, St John's Wood,London",120,Entire home/flat,32 reviews,"St. John's Wood, London"
Great Comfy Room in Trendy Brixton,45,Private room,8 reviews,"Brixton, London"
Double Studio in Victoria (5),70,Entire home/flat,101 reviews,"Pimlico, Greater London"
Spectacular View in Olympic Park,39,Private room,7 reviews,London
Modern duplex Brick Ln / Shoreditch,120,Entire home/flat,2 reviews,"Whitechapel/Brick Lane, London"
3plx Warehouse Conversion Penthouse,75,Entire home/flat,2 reviews,London
Design loft in Shoreditch,110,Entire home/flat,3 reviews,"Shoreditch, London"
Big Cosy Room Central Clerkenwell !,60,Private room,76 reviews,"Clerkenwell, London"
BEAUTIFUL HOUSEBOAT Central London,75,Private room,99 reviews,"Nine Elms, London"
"DoubleRoom,Parking,10mins from city",40,Private room,1 review,London
"Spacious Double Room, London Fields",55,Private room,1 review,London
Great 1 bedroom in Little Venice,80,Entire home/flat,12 reviews,"Maida Vale, City of Westminster"
Sunny Spacious Scandinavian Loft,125,Entire home/flat,23 reviews,"Hackney, London"
Lovely double room in relaxing home,40,Private room,66 reviews,"LB of Newham, London"
Notting Hill Portobello 2 bed for 5,145,Entire home/flat,61 reviews,"Notting Hill, London"
Great Studio in heart of Camden,75,Entire home/flat,56 reviews,"Camden Town, London"
"Kens 3 bedrms, Spacious Trendy Apt",250,Entire home/flat,18 reviews,"Kensington, London"
Room in stunning Shoreditch loft,67,Private room,30 reviews,"City of London, London"
Chic apartment in Chiswick Village,150,Entire home/flat,8 reviews,"Acton, London"
Double room in period house No 1,27,Private room,32 reviews,"LB of Islington, London"
Dockland Views and So Much More,59,Private room,29 reviews,"Rotherhithe, London"
BnB in my little East End House,50,Private room,84 reviews,"LB of Newham, Stratford"
Double room near London Central,43,Private room,21 reviews,"LB of Haringey, London"
SOUTH KENSIGTON - ROMANTIC 1 BROOM,150,Entire home/flat,9 reviews,"Earls Court, London"
Ultimate Central London Pad,85,Entire home/flat,14 reviews,"Shadwell, Greater London"
Bloomsbury London WC1 one bed flat,85,Entire home/flat,54 reviews,"St. Pancras, London"
Double Bed in Olympic Village,39,Private room,5 reviews,London
Lovely room in North London by tube,30,Private room,34 reviews,"LB of Haringey, London"
Kensington luxury apartment Lexham,255,Entire home/flat,4 reviews,"Kensington, London"
GORGEOUS BRIGHT SINGLE Zone 2 SW6,33,Private room,101 reviews,"Fulham, Hammersmith"
Double room in Canary Wharf,40,Private room,11 reviews,"Isle of Dogs, Greater London"
GREAT APARTMENT IN COVENT GARDEN,95,Entire home/flat,1 review,London
Superb dbl ensuite room in London,57,Private room,53 reviews,"Battersea, London"
Double Room with private shower,60,Private room,106 reviews,"Shepherd's Bush, London"
FAB LONDON 1-BED APT - PUTNEY SW15,88,Entire home/flat,9 reviews,"Putney, London"
"New private bedroom, Central London",60,Private room,13 reviews,"Westminster, London"
Cosy London Bedroom for family of 3,40,Private room,53 reviews,"LB of Brent, London"
"Perfect 1 bed, heart of Shoreditch",85,Entire home/flat,5 reviews,"Haggerston, London"
"Wimbledon rooms, close train + tube",75,Private room,4 reviews,"Wimbledon, London"
Victorian flat - 6min London Bridge,53,Private room,26 reviews,"Brockley, London"
"Hampstead Heath, Dog & Kid Friendly",55,Private room,101 reviews,"Hampstead, London"
Flat in central London for Easter,65,Entire home/flat,7 reviews,"Hampstead, London"
Central  London 2 bed apartment,94,Entire home/flat,2 reviews,"Hampstead, Greater London"
HYDE PARK Amazing 1 Bed FREE WI-FI!,247,Entire home/flat,2 reviews,"Bayswater, London"
stunning studio apartment,90,Entire home/flat,8 reviews,"Hampstead, London"
* Great room w/ private bathroom *,50,Private room,16 reviews,"Camberwell, London"
Central Bright Victorian Flat,95,Entire home/flat,7 reviews,"Shepherd's Bush, London"
Belsize Park - Lavender Room,50,Private room,8 reviews,"Hampstead, London"
"Close to Shoreditch, breakfast inc!",45,Private room,60 reviews,"Stepney, Greater London"
Lovely Double Room,45,Private room,7 reviews,London
Heart of Highgate Village w Balcony,140,Entire home/flat,6 reviews,"Hampstead, London"
Beautiful room in NW London,30,Private room,1 review,"LB of Brent, London"
Stylish Quality Central 1 bed flat,150,Entire home/flat,7 reviews,"Bloomsbury, London"
Covent Garden Flat Listed Building,62,Private room,33 reviews,Westminster
"warehouse flat, light and airy",60,Entire home/flat,6 reviews,London
Gorgeous 2 bed flat opp. Oval tube,115,Entire home/flat,1 review,London
"Big loft room Highbury, Islington.",55,Private room,13 reviews,"LB of Islington, London"
Cosy Single in Southfields,25,Private room,1 review,"Southfields, Wandsworth, London"
Bright Earls Court Apt - Kensington,109,Entire home/flat,17 reviews,"Earls Court, London"
Battersea Sky Pad by River Thames,120,Entire home/flat,59 reviews,"Battersea, London"
Private room & bathroom in Fulham,70,Private room,10 reviews,"Fulham, Greater London"
Double room in stylish flat - SE1,70,Private room,34 reviews,"Bermondsey, Greater London"
Sunny 2 bed victorian flat - leyton,80,Entire home/flat,1 review,London
Cosy Victorian ground floor flat,55,Private room,11 reviews,"LB of Islington, Greater London"
"Sunny loft, Brixton: WiFi & B'fast",49,Private room,65 reviews,"Brixton, London"
Luxurious Studio in Prime Location,95,Entire home/flat,65 reviews,"Kings Cross, London"
Cosy Double Room in North London,40,Private room,24 reviews,"LB of Islington, Greater London"
A Bedroom With a Lovely Breakfast,50,Private room,21 reviews,"Stockwell, London"
Beautiful Georgian House by Heath,64,Private room,14 reviews,"Hampstead, London"
Deal! Modern Spacious Flat,49,Entire home/flat,19 reviews,"LB of Islington, London"
Stylish Chic Light Filled Studio,98,Entire home/flat,31 reviews,"Clapham, London"
"Cool Peckham - park, shops & train!",45,Private room,60 reviews,"Nunhead, London"
Luxury three bedroom apartment,130,Entire home/flat,46 reviews,Greenwich
Bright double room,40,Private room,21 reviews,"Hampstead, London"
Room @ Penthouse in Central London,67,Private room,2 reviews,"LB of Islington, London"
Large studio flat in Central London,75,Entire home/flat,24 reviews,"Bermondsey, Greater London"
Bright room in exciting East London,50,Private room,16 reviews,"Hackney, London Borough of Hackney"
Design loft in Shoreditch,110,Entire home/flat,3 reviews,"Shoreditch, London"
NEW! Converted artist's studio,81,Entire home/flat,12 reviews,London
Luxurious apartment 5 min to Tower,160,Entire home/flat,36 reviews,"Limehouse, London"
Iconic Barbican Flat,110,Entire home/flat,8 reviews,"City of London, London"
Chic apartment in Chiswick Village,150,Entire home/flat,8 reviews,"Acton, London"
LGBT friendly double luxury bed.Z.2,70,Private room,27 reviews,"New Cross, London"
Cool 2 Bed Apartment in East London,100,Entire home/flat,5 reviews,"Bethnal Green, London"
Outstanding Apartment in Camden,320,Entire home/flat,13 reviews,"LB of Camden, London"
Lovely Flat - Heart of Shoreditch,75,Entire home/flat,8 reviews,"Whitechapel/Brick Lane, London"
Very Large 2 bed Flat in Farringdon,165,Entire home/flat,5 reviews,London
Double room in period property,59,Private room,18 reviews,London
Spectacular Loft Style Apartment,150,Entire home/flat,15 reviews,"Bermondsey, London"
Charming Victorian in the  Mission,50,Private room,16 reviews,"Wandsworth, Greater London"
"New Chelsea apartment, great links",79,Entire home/flat,3 reviews,"Sands End, London"
"Central, cosy flat in London Bridge",70,Private room,23 reviews,"Southwark, London"
Fantastic 4 person flat in Angel,148,Entire home/flat,15 reviews,"Islington, London"
Huge Room & Pvt Living Space Zone 2,56,Private room,40 reviews,"LB of Islington, London"
ENTIRE ONE BEDROOM FLAT ZONE 1,130,Entire home/flat,48 reviews,"Holland Park, London"
Quirky studio in a converted attic,35,Private room,1 review,"LB of Brent, London"
1-bed in the heart of the eastend,109,Entire home/flat,30 reviews,"Bethnal Green, London"
